Num,paintKey,idPaint,batchNumber,carBrand,paintCodeAndName,paintCode,paintName,initYear,endYear,paintBrand,typePaint,purchaseDate,Unit,Layer,Volume
247,C6-4978694-B,4978694,-,Honda,B536P / Royal Blue Pearl,B536P , Royal Blue Pearl,2006,2012,Crossfire B/C,Basecoat,10/23/2017,1 ,1 ,0.473 L
248,B8-5761153-N,5761153,-,Mercedes-Benz,992 / Selenite Gray Metallic,992 , Selenite Gray Metallic,2014,2015,Tecbase,Basecoat,10/25/2016,1 ,1 ,0.473 L
249,500DB-103204279-3,103204279,31400108,Chevrolet,WA348D / 348D / 23 / Bright Blue Metallic,WA348D / 348D / 23 , Bright Blue Metallic,1997,2001,500 BeroBase,-,03/24/2023,1 ,1 ,0.473 L
250,PBT-1641441-C,1641441,19633346,Toyota,4T8 / Sandy Beach Metallic,4T8 , Sandy Beach Metallic,2008,2020,PBT,-,09/11/2020,1 ,1 ,0.473 L
251,PBT-100930656-A,100930656,,Chevrolet,GB8 / WA384A / 384A / Black Meet Kettle Metallic,GB8 / WA384A / 384A , Black Meet Kettle Metallic,2016,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
252,PBT-1440579-C,1440579,15532140,Chevrolet,WA503Q / 503Q / Ink Slate Metallic,WA503Q / 503Q , Ink Slate Metallic,2008,2009,PBT,-,08/19/2019,1 ,1 ,0.473 L
253,-,-,-,Honda,YR562R / Carbon Bronze Pearl,YR562R , Carbon Bronze Pearl,-,-,-,Basecoat,06/07/2021,1 ,1 ,0.473 L
254,PBT-100547506-A,100547506,24730310,Lincoln,G1 / M7343A / M7343 / G9ZEWHA / 7343 / Absolute Black,G1 / M7343A / M7343 / G9ZEWHA / 7343 , Absolute Black,2015,2021,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
255,PBN-5376039-B,5376039,-,Ford,UG / White Platinum Pearl,UG , White Platinum Pearl,2009,2016,Pro//Base National Rule - Pbn,Groundcoat,06/22/2017,1 ,1 ,0.473 L
256,PBN-5379165-C,5379165,-,Mazda,32S / Galaxy Gray Mica,32S , Galaxy Gray Mica,2006,2012,Pro//Base National Rule - Pbn,Basecoat,07/06/2017,1 ,1 ,0.473 L
257,PBT-1407834-A,1407834,-,Chevrolet,GAR / 58 / WA501Q / 501Q / Carbon Flash Metallic,GAR / 58 / WA501Q / 501Q , Carbon Flash Metallic,2008,2020,PBT,-,-,1 ,1 ,0.473 L
258,-,28051,-,GM,WA379E / Crimson Pearl,WA379E , Crimson Pearl,1998,2007,Limco Supreme,-,10/20/2011,1 ,1 ,0.473 L
259,PBT-1389019-B,1389019,37251823,Subaru,CB4 / D4S / EH3 / Crystal Black Silica Pearl,CB4 / D4S / EH3 , Crystal Black Silica Pearl,2009,2024,PBT - PRO//BASE 3.5 VOC,-,-,1 ,1 ,0.473 L
260,PBT-100699501-C,100699501,-,Chevrolet,GWT / WA120V / 120V / Champagne Silver Metallic,GWT / WA120V / 120V , Champagne Silver Metallic,2013,2017,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
261,B8-67174-00-P,4394996,-,Pontiac,946J / Barbados Metallic,946J , Barbados Metallic,2004,2005,Tecbase,Basecoat,05/05/2015,1 ,1 ,0.473 L
262,PBT-1440531-D,1440531,16397492,Toyota,1E3 / U1E3 / Phantom Gray Pearl,1E3 / U1E3 , Phantom Gray Pearl,1986,2008,PBT,-,11/05/2018,1 ,1 ,0.473 L
263,PBT Midcoa - 100280747- B,100280747,12459173,Acura,NH788P / Orchid White Pearl,NH788P , Orchid White Pearl,2011,2019,PBT Midcoat,Midcoat,11/13/2018,1 ,1 ,0.473 L
264,PBT-1392373-D,1392373,-,Toyota,3R3 / Barcelona Red,3R3 , Barcelona Red,2006,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
265,C6-4975767-B,4975767,-,Toyota,1B2 / Antique Sage Pearl,1B2 , Antique Sage Pearl,1997,2001,Crossfire B/C,Basecoat,02/06/2015,1 ,1 ,0.473 L
266,C6-4968159-C,4968159,12394205,Chevrolet,GCE / WA412P / 412P / 66 / Sonoma Jewel Metallic,GCE / WA412P / 412P / 66 , Sonoma Jewel Metallic,2007,2016,C6,-,11/07/2018,1 ,1 ,0.473 L
267,B8-67075-01-N,4272654,-,Jeep,PGV / Deep Beryl Green Pearl,PGV , Deep Beryl Green Pearl,2004,2006,Tecbase,Basecoat,12/03/2012,1 ,1 ,0.473 L
268,PBN-5375134-C,5375134,-,Subaru,33J / Garnet Red Pearl,33J , Garnet Red Pearl,2004,2006,Pro//Base National Rule - Pbn,Basecoat,06/08/2017,1 ,1 ,0.473 L
269,-,-,-,GM,45 / Medium Green Metallic,45 , Medium Green Metallic,2001,2003,Wandabase HS,-,-,1 ,1 ,0.473 L
270,PBN-5365022-B,5365022,-,Ford,TK / Mineral Gray Metallic,TK , Mineral Gray Metallic,2001,2014,Pro//Base National Rule - Pbn,Basecoat,06/28/2014,1 ,1 ,0.473 L
271,-,712006,-,Toyota,1F7 / Classic Silver,1F7 , Classic Silver,2004,2011,Limco Supreme,-,05/05/2011,1 ,1 ,0.473 L
272,-,-,-,Chrysler,PS2 / Bright Silver,PS2 , Bright Silver,1999,2917,Wandabase HS,-,-,1 ,1 ,0.473 L
273,PBT-1366190-D,1366190,18256272,Nissan,NAH / Red Pearl,NAH , Red Pearl,2011,2021,PBT,-,-,1 ,1 ,0.473 L
274,PBN-5378934-C,5378934,-,Ford,UX / Ingot Silver Metallic,UX , Ingot Silver Metallic,2010,2016,Pro//Base National Rule - Pbn,Basecoat,09/28/2016,1 ,1 ,0.473 L
275,PBN-5469203-C,5469203,-,Lexus,1H9 / Mercury Gray Mica,1H9 , Mercury Gray Mica,2010,2015,Pro//Base National Rule - Pbn,Basecoat,08/07/2017,1 ,1 ,0.473 L
276,-,-,-,Mazda,26X / Dark Steel,26X , Dark Steel,2003,2005,Wandabase HS,-,-,1 ,1 ,0.473 L
277,C6-4958995-C,4958995,10550133,Chevrolet,51 / 203C / WA203C / Dark Toreador Metallic,51 / 203C / WA203C , Dark Toreador Metallic,1996,2002,C6,-,06/11/2018,1 ,1 ,0.473 L
278,-,248757,-,Mitsubishi,R70 / Patriot Red Pearl,R70 , Patriot Red Pearl,2000,2002,Limco Supreme,-,01/27/2012,1 ,1 ,0.473 L
279,-,-,-,Toyota,1C8 / Silver,1C8 , Silver,1998,2007,Wandabase HS,-,-,1 ,1 ,0.473 L
280,C6-4975289-B,4975289,-,Ford,R1 / Dark Teal Metallic,R1 , Dark Teal Metallic,1999,2003,Crossfire B/C,Basecoat,07/08/2014,1 ,1 ,0.473 L
281,PBT-100842930-D,100842930,41497995,Hyundai,YG7 / Dark Knight Pearl,YG7 , Dark Knight Pearl,2018,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
282,C6-4958153-C,4958153,-,Ford,DX / Dark Blue Pearl,DX , Dark Blue Pearl,2003,2015,Crossfire B/C,Basecoat,07/10/2014,1 ,1 ,0.956 L
283,-,-,-,Volkswagen,VWLC8Z / Mocha Brown,VWLC8Z , Mocha Brown,2004,2014,Wandabase HS,-,-,1 ,1 ,0.956 L
284,PBN-5363554-B,5363554,-,Toyota,8S6 / Nautical Blue Metallic,8S6 , Nautical Blue Metallic,2004,2015,Pro//Base National Rule - Pbn,Basecoat,12/13/2017,1 ,1 ,0.956 L
285,PBN-5376369-B,5376369,-,Chevrolet,929L / Cashmere Metallic,929L , Cashmere Metallic,2004,2013,Pro//Base National Rule - Pbn,Basecoat,07/06/2016,1 ,1 ,0.956 L
286,56-59928-B,59928,-,Nissan,KV9 / Warm Silver Metallic,KV9 , Warm Silver Metallic,2000,-,Crossfire Platinum B/C 5.0,-,09/23/2010,1 ,1 ,0.956 L
287,B8-45698-00-N,45698,-,Mercedes-Benz,181 / Atlas Gray Metallic,181 , Atlas Gray Metallic,1991,2000,Tecbase,-,06/10/2010,1 ,1 ,0.956 L
288,56-65724-00-B,65724,-,Chevrolet,WA928L / Stealth Gray Metallic,WA928L , Stealth Gray Metallic,2004,2009,Crossfire Platinum B/C 5.0, -,-,1 ,1 ,0.956 L
289,-,-,-,Toyota,6R1 / Woodland Green Pearl,6R1 , Woodland Green Pearl,1999,2003,Crossfire Platinum B/C 5.0,-,-,1 ,1 ,0.956 L
290,C6-4966427-A,4966427,-,Honda,B538M / Glacier Blue Metallic,B538M , Glacier Blue Metallic,2007,2011,Crossfire B/C,Basecoat,09/28/2012,1 ,1 ,0.956 L
291,56-34983-00-B,1766414,-,Chevrolet,WA8774 / Bright Red,WA8774 , Bright Red,1991,2002,Crossfire Platinum B/C 5.0,Basecoat,03/11/2013,1 ,1 ,0.956 L
292,-,-,-,Toyota,4M9 / Cashmere Beige Metallic,4M9 , Cashmere Beige Metallic,1994,2001,Tecbase,-,12/29/2010,1 ,1 ,0.956 L
293,PBN-5691080-C,5691080,-,Jeep,-,-,-,2014,2015,Pro//Base National Rule - Pbn,Basecoat,06/11/2016,1 ,1 ,0.956 L
294,PBN-5377136-C,5377136,-,Ford,UJ / Sterling Gray Metallic,UJ , Sterling Gray Metallic,2009,2015,Pro//Base National Rule - Pbn,Basecoat,08/30/2016,1 ,1 ,0.956 L
295,PBN-5366438-C,5366438,-,Chevrolet,308N / Cosmic Quartz Metallic,308N , Cosmic Quartz Metallic,2006,2009,Pro//Base National Rule - Pbn,Basecoat,10/10/2017,1 ,1 ,0.956 L
296,PBT-1573207-D,1573207,13967498,Audi,LY1Q / 9X / 9X9X / Dakar Beige Metallic,LY1Q / 9X / 9X9X , Dakar Beige Metallic,2005,2011,PBT,-,04/02/2019,1 ,1 ,0.956 L
297,-,766245,-,Honda,NH701M-4 / Galaxy Gray Metallic,NH701M-4 , Galaxy Gray Metallic,2006,-,Chromebase ,-,06/29/2021,1 ,1 ,0.956 L
298,56-6232-00-B,2136349,-,Toyota,1D4 / Titanium Metallic,1D4 , Titanium Metallic,2008,2009,Crossfire Platinum B/C 5.0,Basecoat,11/14/2012,1 ,1 ,0.956 L
299,-,-,-,Ford,G2 / RC / Medium Platinum Metallic,G2 / RC , Medium Platinum Metallic,2002,2005,Tecbase,-,-,1 ,1 ,0.956 L
300,PBN-5365554-C,5365554,-,Chevrolet,253A / Wheatland Yellow,253A , Wheatland Yellow,1997,2015,Pro//Base National Rule - Pbn,Basecoat,12/13/2017,1 ,1 ,0.956 L
301,C6-4970406-D,4970406,10326805,Chevrolet,63 / 817K / WA817K / Sport Red Metallic,63 / 817K / WA817K , Sport Red Metallic,2004,2010,C6,-,05/23/2018,1 ,1 ,0.956 L
302,56-57133-00-B,-,-,Hyundai,BX / Bright Silver Metallic,BX , Bright Silver Metallic,1998,2004,Crossfire Platinum B/C 5.0,-,-,1 ,1 ,0.956 L
303,C6-10141016-A,10141016,24441178,Dodge,PXR / AXR / AY112AXR / Brilliant Black Pearl,PXR / AXR / AY112AXR , Brilliant Black Pearl,2008,2020,C6 - Crossfire B/C,-,-,1 ,1 ,0.956 L
304,56-56106-00-B,1771008,-,Mazda,18G / Highlight Silver Metallic,18G , Highlight Silver Metallic,1997,2012,Crossfire Platinum B/C 5.0,Basecoat,11/07/2013,1 ,1 ,0.956 L
305,C6-4964192-A,4964192,26440735,Toyota,1D6 / U1D6 / Silver Sky Metallic,1D6 / U1D6 , Silver Sky Metallic,2000,2023,C6 - Crossfire B/C,-,07/28/2022,1 ,1 ,0.956 L
306,B8-45696-00-P,-,-,Mercedes-Benz,744 / Brilliatn Silver Metallic,744 , Brilliatn Silver Metallic,1991,2004,Tecbase,-,01/26/2011,1 ,1 ,0.956 L
307,PBN-5366908-C,5366908,-,Lexus,3R1 / Matador Red Mica,3R1 , Matador Red Mica,2005,2015,Pro//Base National Rule - Pbn,Basecoat,02/07/2017,1 ,1 ,0.956 L
308,C6-4973509-B,4973509,-,Acura,BG50M / Havasu Blue Metallic,BG50M , Havasu Blue Metallic,2003,-,Crossfire B/C,Basecoat,11/02/2016,1 ,1 ,0.956 L
309,56-80116-B,-,-,Dodge,PFF / Lt Pweter Metallic,PFF , Lt Pweter Metallic,2001,2002,Crossfire Platinum B/C 5.0,-,20/18/2010,1 ,1 ,0.956 L
310,PBT-100133824-B,100133824,9931500,Toyota,1G3 / Magnetic Gray Metallic,1G3 , Magnetic Gray Metallic,-,-,PBT,-,04/23/2018,1 ,1 ,0.956 L
311,56-60609-00-B,4428898,-,Mitsubishi,A45 / Franklin Silver Metallic,A45 , Franklin Silver Metallic,2000,2004,Crossfire Platinum B/C 5.0,Basecoat,10/12/2012,1 ,1 ,0.956 L
312,C6-4977675-A,4977675,-,Ford,P5 / Aspen Green Metallic,P5 , Aspen Green Metallic,2002,2009,Crossfire B/C,Basecoat,01/26/2017,1 ,1 ,0.956 L
313,C64963944-A,4963944,36530150,Chrysler,AY110SW1 / AY95SW1 / PW1 / SW1 / W1 / Stone White,AY110SW1 / AY95SW1 / PW1 / SW1 / W1 , Stone White,1996,2022,C6 - Crossfire B/C,-,10/24/2023,1 ,1 ,0.956 L
314,-,-,-,GM,382E / Pewter Metallic,382E , Pewter Metallic,1998,2005,Wandabase HS,-,-,1 ,1 ,0.956 L
315,56-69218-00-A,3467252,-,Mazda,32P / Tungsten Gray Metallic,32P , Tungsten Gray Metallic,2006,2008,Crossfire Platinum B/C 5.0,Basecoat,05/30/2013,1 ,1 ,0.956 L
316,-,737227,-,GM,WA412P / Deep Ruby Metallic,WA412P , Deep Ruby Metallic,2007,2014,LIMCO Supreme Plus,Basecoat,11/28/2017,1 ,2/2,0.956 L
317,-,737227,-,GM,WA412P / Deep Ruby Metallic,WA412P , Deep Ruby Metallic,2007,2014,LIMCO Supreme Plus,Basecoat,11/28/2017,1 ,1/2,0.956 L
318,-,-,-,Acura,NH643M / Anthracite Metallic,NH643M , Anthracite Metallic,2002,2006,-,-,-,1 ,1 ,0.956 L
319,PBN-5471019-C,5471019,-,Toyota,6R6 / Mineral Green Mica,6R6 , Mineral Green Mica,2001,2006,Pro//Base National Rule - Pbn,Basecoat,04/10/2017,1 ,1 ,0.956 L
320,PBT-1660685-C,1660685,32416294,Toyota,1H1 / Predawn Gray Mica,1H1 , Predawn Gray Mica,2010,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
321,PBT-1393362-B,1393362,10556218,Ford,TK / Mineral Gray Metallic,TK , Mineral Gray Metallic,-,-,PBT,-,06/11/2018,1 ,1 ,0.956 L
322,56-6243-1-00-B,-,-,Toyota,1D7 / Silver Shadow Prl,1D7 , Silver Shadow Prl,2001,2010,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,08/18/2011,1 ,1 ,0.956 L
323,68144-00-B,4106713,-,Kia,6C / Clear Silver Metallic,6C , Clear Silver Metallic,2004,2012,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,12/06/2011,1 ,1 ,0.956 L
324,-,-,-,Chrysler,PPK / BPK / Magnesium Pearl,PPK / BPK , Magnesium Pearl,2005,2007,Crossfire Platinum B/C 5.0,Basecoat,09/12/2013,1 ,1 ,0.956 L
325,56-58299-00-B,-,-,Ford,AQ / Arizona Beige Metallic,AQ , Arizona Beige Metallic,2004,2010,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,09/19/2014,1 ,1 ,0.956 L
326,56-61272-00-B,1773392,-,Toyota,8P4 / Indigo Ink Pearl,8P4 , Indigo Ink Pearl,2001,2008,Crossfire Platinum B/C 5.0,Basecoat,05/14/2013,1 ,1 ,0.956 L
327,C6-4952679-A,4952679,-,Mercedes-Benz,904 / Midnight Blue,904 , Midnight Blue,1968,1994,Crossfire B/C,Basecoat,03/22/2016,1 ,1 ,0.956 L
328,PBT-1557613-C,1557613,13392694,Honda,R94 / R94X / San Marino Red,R94 / R94X , San Marino Red,1995,2019,PBT,-,02/11/2019,1 ,1 ,0.956 L
329,PBT-1385024-C,1385024,13671578,Honda,YR524M / Naples Gold Metallic,YR524M , Naples Gold Metallic,1999,2010,PBT,-,03/07/2019,1 ,1 ,0.956 L
330,PBT-100942987-B,100942987,28288307,Toyota,Desert Sand Mica,-,Desert Sand Mica,1999,2011,PBT - PRO//BASE 3.5 VOC,Basecoat,10/25/2022,1 ,1 ,0.956 L
331,PBN-5528192-B,5528192,-,Ford,BT / Dark Side Metallic,BT , Dark Side Metallic,2014,2015,Pro//Base National Rule - Pbn,Basecoat,05/10/2018,1 ,1 ,0.956 L
332,B8-74091-V,-,-,Honda,NH700M / Alabaster Silver Metallic,NH700M , Alabaster Silver Metallic,2006,2011,Tecbase,-,11/22/2010,1 ,1 ,0.956 L
333,PBN-5376486-C,5376486,-,Honda,NH705M / Nimbus Gray Metallic,NH705M , Nimbus Gray Metallic,2007,2009,Pro//Base National Rule - Pbn,Basecoat,09/21/2017,1 ,1 ,0.956 L
334,56-75800-00-B,4107313,-,Lexus,4T1 / Golden Almond Metallic,4T1 , Golden Almond Metallic,2007,2011,Crossfire Platinum B/C 5.0,Basecoat,06/13/2012,1 ,1 ,0.956 L
335,C6-4957007-B,4957007,-,Honda,B518P / Midnight Blue Pearl,B518P , Midnight Blue Pearl,2003,2007,Crossfire B/C,Basecoat,08/21/2015,1 ,1 ,0.956 L
336,PBT-1565257-B,1565257,11187399,Ford,G1 / M7343A / M7343 / G9ZEWHA / 7343 / Absolute Black,G1 / M7343A / M7343 / G9ZEWHA / 7343 , Absolute Black,2015,2019,PBT,-,07/31/2018,1 ,1 ,0.956 L
337,C6-4979548-A,4979548,-,GM,WA8993 / Medium Sapphr Blue F Metallic,WA8993 , Medium Sapphr Blue F Metallic,1987,1990,Crossfire B/C,Basecoat,09/27/2014,1 ,1 ,0.956 L
338,56-48882-00-B,-,-,Mitsubishi,H81 / Silver Metallic,H81 , Silver Metallic,1994,1996,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,05/09/2011,1 ,1 ,0.956 L
339,56-53876-00-A,-,-,Ford,FS / Spruce Green Metallic,FS , Spruce Green Metallic,1998,2016,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,09/28/2012,1 ,1 ,0.956 L
340,56-63489-00-A,2666136,-,Subaru,08V / Midnight Black Pearl,08V , Midnight Black Pearl,2002,2004,Crossfire Platinum B/C 5.0,Basecoat,05/14/2013,1 ,1 ,0.956 L
341,B852965-V-00,-,-,Chevrolet,WA331D / Silvermist Metallic,WA331D , Silvermist Metallic,1997,2011,Tecbase,-,07/06/2017,1 ,1 ,0.956 L
342,PBT-101203131-B,101203131,30207893,Honda,NH830M / Lunar Silver Metallic,NH830M , Lunar Silver Metallic,1997,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
343,56-66692-22,3042019,-,Chevrolet,929L / Cashmere Metallic,929L , Cashmere Metallic,2004,2013,Crossfire Platinum B/C 5.0,Basecoat,10/12/2018,1 ,1 ,0.956 L
344,PBT-100357065-C,100357065,16716428,Acura,YR509P / YR509P-1 / Granite Silver Pearl,YR509P / YR509P-1 , Granite Silver Pearl,1995,1998,PBT,-,12/06/2019,1 ,1 ,0.956 L
345,PBT-1457092-B,1457092,-,Chevrolet,G7J / WA136X / 136X / Unripened Green Metallic,G7J / WA136X / 136X , Unripened Green Metallic,2014,2018,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
346,C6-4973296-C,4973296,25003764,Dodge,PR3 / ZR3 / High Performance Red,PR3 / ZR3 , High Performance Red,2007,2022,C6 - Crossfire B/C,-,05/03/2022,1 ,1 ,0.956 L
347,56-42294-00-A,-,-,Volvo,081 / Blue,081 , Blue,-,-,Crossfire Platinum B/C 5.0,-,-,1 ,1 ,0.956 L
348,PBT-1271980-C,1271980,30443532,Honda,R548P / Basque Red Pearl,R548P , Basque Red Pearl,2012,2020,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
349,PBT-1391532-C,1391532,15120793,Dodge,PBJ / ZBJ / AY112ZBJ / Atlantic Blue Pearl,PBJ / ZBJ / AY112ZBJ , Atlantic Blue Pearl,2002,2006,PBT,-,07/12/2019,1 ,1 ,0.956 L
350,-,-,-,-,Piedra,-,Piedra,-,-,-,-,-,1 ,1 ,0.956 L
351,PBT-1392391-B,1392391,-,Acura,NH782M / Graphite Luster Metallic,NH782M , Graphite Luster Metallic,2009,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
352,PBT-100983227-B,100983227,-,Mercedes-Benz,5-890 / 890 / 5890 / Cavansite Blue Metallic,5-890 / 890 / 5890 , Cavansite Blue Metallic,2011,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
353,C6-4953430-A,4953430,26786301,Honda,NH731P / Crystal Black Pearl,NH731P , Crystal Black Pearl,2004,2023,C6 - Crossfire B/C,-,08/15/2022,1 ,1 ,0.956 L
354,PBT-100274215-D,100274215,16166803,Toyota,1C8 / U1C8 / Lunar Mist Metallic,1C8 / U1C8 , Lunar Mist Metallic,2000,2006,PBT,-,10/15/2019,1 ,1 ,0.956 L
355,PBT-1454840-D,1454840,9987111,Ford,HI / M7310A / DKFC / DKFCWWA / Tectonic Silver Metallic,HI / M7310A / DKFC / DKFCWWA , Tectonic Silver Metallic,2013,2016,PBT,-,08/26/2018,1 ,1 ,0.956 L
356,56-60796-00-B,4428909,-,Honda,YR528M / Shoreline Mist Metallic,YR528M , Shoreline Mist Metallic,2000,2007,Crossfire Platinum B/C 5.0,Basecoat,09/12/2013,1 ,1 ,0.956 L
357,PBT-101051382-B,101051382,3058554,Ford,CX / Dark Shadow Gray Metallic,CX , Dark Shadow Gray Metallic,2001,2005,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
358,C6-4955898-C,4955898,-,Chevrolet,220C / Light Drift Sand Metallic,220C , Light Drift Sand Metallic,1996,2005,Crossfire B/C,Basecoat,01/07/2017,1 ,1 ,0.956 L
359,56-64594-00-C,3332059,-,Buick,811K / Berry Metallic,811K , Berry Metallic,2003,2005,Crossfire Platinum B/C 5.0,Basecoat Clearcoat,03/07/2012,1 ,1 ,0.956 L
360,C6-4975767-B,4975767,-,Toyota,1B2 / Antique Sage Pearl,1B2 , Antique Sage Pearl,1997,2001,Crossfire B/C,Basecoat,07/01/2016,1 ,1 ,0.956 L
361,PBN-5470612-A,5470612,-,Toyota,779 / Capri Sea Metallic,779 , Capri Sea Metallic,2009,2010,Pro//Base National Rule - Pbn,Basecoat,05/30/2014,1 ,1 ,0.956 L
362,-,-,-,Chevrolet,14 / WA391E / Storm Gray Metallic,14 / WA391E , Storm Gray Metallic,1999,2005,Crossfire Platinum B/C 5.0,-,10/09/2010,1 ,1 ,0.956 L
363,PBN-5364191-C,5364191,-,Honda,NH623M / Satin Silver Metallic,NH623M , Satin Silver Metallic,1999,2010,Pro//Base National Rule - Pbn,Basecoat,01/05/2018,1 ,1 ,0.956 L
364,-,-,-,Dodge,PKG / FKG / Light Sandstone Metallic,PKG / FKG , Light Sandstone Metallic,2008,2010,Tecbase,-,12/07/2010,1 ,1 ,0.956 L
365,PBT-1454857-C,1454857,30604611,Toyota,221 / Blackish Ageha Metallic,221 , Blackish Ageha Metallic,2014,2022,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.956 L
366,56-4944268-C,4944268,-,Chrysler,PBG / Clearwater Blue Pearl,PBG , Clearwater Blue Pearl,2008,2010,Crossfire Platinum B/C 5.0,Basecoat,07/11/2013,1 ,1 ,0.956 L
367,-,-,-,Toyota,4M9 / Cashmere Beige Metallic,4M9 , Cashmere Beige Metallic,1994,2001,Tecbase,-,-,1 ,1 ,0.956 L
368,-,-,-,Honda,HON9696 / Smoky Topaz,HON9696 , Smoky Topaz,2011,2015,Wandabase HS,-,-,1 ,1 ,0.956 L
369,-,-,-,-,Sparkle,-,Sparkle,-,-,-,-,-,1 ,1 ,0.956 L
370,56-2119-00-B,4408201,-,Ford,3M / Silver Bright Blue Metallic,3M , Silver Bright Blue Metallic,1973,1976,Crossfire Platinum B/C 5.0,Basecoat,09/12/2013,1 ,1 ,0.956 L
371,-,-,-,Toyota,086988 / 202 / 98367 / KA3 / Black,086988 / 202 / 98367 / KA3 , Black,-,-,roberlo,-,05/16/2023,1 ,1 ,0.956 L
372,B8-63498-06-V,-,-,Nissan,KY2 / Polished Pewter Metallic,KY2 , Polished Pewter Metallic,2002,2007,Tecbase,Basecoat Clearcoat,06/14/2011,1 ,1 ,0.956 L
373,56-78820-00-B,4136221,-,Honda,R529P / Dark Cherry Pearl,R529P , Dark Cherry Pearl,2007,2013,Crossfire Platinum B/C 5.0,Basecoat,11/14/2012,1 ,1 ,0.956 L
374,56-70900-00B,4106876,-,Ford,NH / Light Sage Metallic,NH , Light Sage Metallic,2007,2009,Crossfire Platinum B/C 5.0,Basecoat,06/03/2013,1 ,1 ,0.956 L
